"profession","salary_min","salary_max","salary_unit","salary_paytime","company_name","location","start_date","telephone","email","job_description","ref_no","external_link","application_link"
"Mechatroniker/in - Kältetechnik","NaN","NaN","","","Landig + Lava GmbH & Co KG","Mackstr. 90, 88348 Bad Saulgau","2026-09-01","[]","[info@landig.com, info@landig.com, info@landig.com]","AUSBILDUNG MECHATRONIKER FÜR KÄLTETECHNIK (M/W/D)
Ihre Aufgaben: VIELSEITIG, ABWECHSLUNGSREICH UND SPANNEND
Materialauswahl
Installation und Programmierung der Mess,- Steuer- und Regelungstechnik an anspruchsvollen kälte- und klimatechnischen Anlagen
Anbindung von Anlagen, Systemen und Komponenten der Kälte- und Klimatechnik in das Gesamtkonzept einer Immobilie
Ökonomische als auch ökologische Optimierung
Wartungen der versorgungstechnischen Anlagen oder einzelner Anlagenteile
Überprüfung du Funktionalität und ggf. Übernahme einer Reparatur, Umbau oder komplette Demontage
Ihr Profil: TECHNISCH & HANDWERKLICH BEGABT, TEAMPLAYER UND AUF ZACK
Real­schul­ab­schluss oder ein sehr guter Haupt­schul­ab­schluss
Fun­dierte Kennt­nisse in Mathe­ma­tik, Phy­sik oder Tech­nik
Gutes tech­ni­sches Ver­ständ­nis und hand­werk­li­ches Geschick
Logi­sches Denk­ver­mö­gen, Ver­ant­wor­tungs­be­wusst­sein, Sorg­falt und Zuver­läs­sig­keit
Spaß an der Arbeit im Team
Geleis­tete Prak­tika in die­sem oder einem ähn­li­chen Aus­bil­dungs­be­ruf sind von Vor­teil
Fakten: WAS GENAU ERWARTET DICH
Die Aus­bil­dung dau­ert 3 ½ Jahre
Selbst­stän­di­ges Arbei­ten ist in die­sem abwechs­lungs­rei­chen Berufs­feld die Regel
Du bist sowohl auf gro­ßen Bau­stel­len, Fabrikgebäuden, Kühlhäusern, Produktionshallen als auch direkt bei unse­ren Kun­den zu Hause oder bei uns in der Geräteproduktion tätig
Abge­schlos­sen wird die Aus­bil­dung durch die Prü­fung vor der Hand­werks­kam­mer und der Innung
Nach Mög­lich­keit über­neh­men wir unsere moti­vier­ten Aus­zu­bil­den­den nach erfolg­rei­chem Abschluss in ein Arbeits­ver­hält­nis
Wer wir sind: INNOVATIV, DYNAMISCH UND LUST AUF MEHR – Landig + Lava GmbH & Co. KG
Erfahrenes und gut eingespieltes Team
Unternehmen auf Expansionskurs
Neues Firmengebäude
Familiäre Stimmung, Anpackermentalität
Spannende Marken und Produkte: DRY AGER, Landig, LAVA
Stark am Markt: Teils Markt/- bzw. Technologieführer
Unternehmen legt extrem viel Wert auf Qualität und Hochwertigkeit
Made in Germany. Regionalität spielt eine Rolle. Nachhaltigkeit!
Interessiert? Neugierig? Voller Tatendrang? Dann gleich bewerben!
WIR FREUEN UNS AUF DICH!
Jetzt online bewerben","10000-1203528510-S",NULL,"https://www.landig.com/jobs/job-detail/1309051/ausbildung-mechatroniker-fuer-kaeltetechnik-m-w-d/"
"Pflegefachmann/-frau (Ausbildung)","NaN","NaN","","","Int. Bildungs-u.Sozialwerk GmbH ""Haus am Kurpark""","Neuer Weg 15, 34508 Willingen (Upland)","2026-10-01","['+49 5632 9693040']","[]","Für unser Senioren- und Pflegezentrum suchen wir zum Ausbildungsbeginn in 2026 Auszubildende als Pflegefachmann/frau (m/w/d).
**Vorausgesetzt wird in der Regel ein mittlerer Bildungsabschluss oder eine gleichwertige Vorbildung.
**Auch Schüler/innen, die eine andere zehnjährige allgemeine Schulausbildung abgeschlossen haben, können zugelassen werden (qualifizierter Hauptschulabschuss).
**Schüler/innen mit Hauptschulabschluss können aufgenommen werden, sofern sie zusätzlich über eine abgeschlossene Berufsausbildung von mindestens zweijähriger Dauer verfügen oder die Erlaubnis als Altenpflegehelfer/in bzw. als Gesundheits- und Krankenpflegehelfer/in vorlegen oder eine erfolgreich abgeschlossene landesrechtlich geregelte Ausbildung von mindestens einjähriger Dauer in der Gesundheits- und Krankenpflegehilfe oder Altenpflegehilfe absolviert haben.
>>Darüber hinaus sind Sie kontaktfreudig, kommunikationsstark und in der Lage selbstständig zu arbeiten.
>>Vor Ausbildung ist ein Praktikum im Haus vorgesehen.
--Fachschulstandort (Altenpflegeschule) ist Bad Arolsen >bzw. Krankenpflegeschule Korbach, Brilon oder Olsberg< individuell - theoretischer Unterricht in Blockform
DIE TÄTIGKEIT / AUSBILDUNG IM ÜBERBLICK:
Pflegefachleute betreuen und versorgen Menschen in allen Versorgungsbereichen der Pflege (Kranken-, Kinderkranken- und Altenpflege). Außerdem führen sie ärztliche Anordnungen durch, assistieren bei ärztlichen Maßnahmen, dokumentieren Patientendaten und wirken bei der Qualitätssicherung mit.
Pflegefachmann/-frau ist eine bundesweit einheitlich geregelte schulische Ausbildung an Berufsfachschulen (Pflegeschulen).
Sie dauert 3 Jahre und führt zu einer staatlichen Abschlussprüfung.
Ist im Ausbildungsvertrag ein entsprechender Vertiefungseinsatz vereinbart, können die Auszubildenden für das letzte Drittel der Ausbildung entscheiden, ob sie die begonnene Ausbildung als Pflegefachmann/-frau fortsetzen oder ob sie die Ausbildung neu ausrichten auf einen Abschluss als Gesundheits- und Kinderkrankenpfleger/in oder Altenpfleger/in.
Daneben besteht die Möglichkeit, eine Pflegeausbildung im Rahmen eines Hochschulstudiums zu absolvieren.
Sind Sie interessiert? Dann freuen wir uns auf Ihre schriftliche Bewerbung, die Sie bitte an Frau Vollmer richten.","10000-1203528520-S","http://www.int-bsw.de/",NULL
"Sport- und Fitnesskaufmann/-frau","NaN","NaN","","","Lifestyle 3000 GmbH","Im Speckenfeld 2, 27639 Wurster Nordseeküste",NULL,"['+49 4742 253728']","[]","Fitnessstudio, Wellnessbereich, Rehasport, Abnehmen und Kindertanzen ist unser Angebot am Standort in Dorum.
Wir suchenzum 01.08.2025 eine/n Auszubildende/n zum/zur Sport- und Fitnesskaufmann/-frau (m/w/d).
Wenn Du sportlich bist und Spaß im genannten Bereich hast freuen wir uns auf Deine Bewerbung!
Die Arbeitsstunden fallen in die Zeiten von Mo-Fr 8.30-21.30 u Sa-So 10.00-14.00 je nach Bedarf.
Aus diesem Grund wäre ein Mindestalter von 18 J. von Vorteil.","10000-1203528529-S",NULL,NULL
"Zimmerer/Zimmerin","1.08","1.08","€","Monat","Koreis Hochbau GmbH","Gewerbestr. 16, 86875 Waal, Schwaben","2026-09-01","['+49 8246 685']","[firma@koreis-hochbau.de]","Suchst Du einen sicheren Arbeitsplatz, der abwechslungsreich und flexibel ist?
Möchtest Du miterleben, wie aus Ideen auf Papier etwas Reales entsteht?
Arbeitest Du gerne im Team?
Bist Du daran interessiert Dich weiterzubilden und neue Herausforderungen kennenzulernen?
DANN NUTZE DEINE CHANCE!
Der Beruf des Zimmerers hat sich in den letzten Jahren grundlegend verändert. Durch den Einsatz modernster Technik werden viele Arbeiten erleichtert. Für jeden Arbeitsschritt gibt es dazugehörige Hilfsmittel und entsprechende Technik.
DEIN EINSATZ!
Der Beruf des Zimmerers stellt natürlich auch gewisse Anforderungen an Dich.
Du solltest mit Leidenschaft und Interesse bei der Sache sein.
Mit Mathematik solltest du nicht gerade auf Kriegsfuß stehen.
Technisches Interesse setzten wir voraus, das ist uns sehr wichtig.
Es versteht sich natürlich auch, dass körperliche Fitness dazu gehört.
WIR BIETEN DIR:
• Ein gutes Betriebsklima
• Eine leistungsgerechte Vergütung
• Betriebliche Altersvorsorge
• Kostenlose Arbeitskleidung und Werkzeug
• Kostenlose Getränke am Lager
• Fort- und Weiterbildungen
• Übernahme nach der Ausbildung
Haben wir dein Interesse geweckt, dann melde Dich bei uns. Das kannst Du per Email, Post und telefonisch machen.
PRAKTIKUM? - Du möchtest mal schauen, wie das bei uns so läuft? Kein Problem! Du kannst jederzeit ein Praktikum bei uns machen.
Melde Dich einfach.
Koreis Hochbau GmbHGewerbestraße 16, 86875 Waal
Tel. 08246/685, Email firma@koreis-hochbau.de","10000-1203528534-S","https://www.koreis-hochbau.de/",NULL
"Metallbauer/in - Konstruktionstechnik","NaN","NaN","","","Böckmann Maschinenbau GmbH","Feldkamp 12, 49451 Holdorf, Niedersachsen","2026-08-01","[]","[info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de]","Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur Metallbauer/in - Konstruktionstechnik.
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!","10000-1203528570-S","http://www.boeckmann-maschinenbau.de/",NULL
"Maschinen- und Anlagenführer/in (o. Angabe des Schwerpunkts)","NaN","NaN","","","Böckmann Maschinenbau GmbH","Feldkamp 12, 49451 Holdorf, Niedersachsen","2026-08-01","[]","[info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de]","Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur Maschinen- und Anlagenführer/in.
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!","10000-1203528609-S","http://www.boeckmann-maschinenbau.de/",NULL
"Land- und Baumaschinenmechatroniker/in","NaN","NaN","","","Schneider Landmaschinenzentrum GmbH & Co. KG","Schafgasse 20, 71083 Herrenberg im Gäu","2026-09-01","[]","[info@schneider-lmz.de, info@schneider-lmz.de, info@schneider-lmz.de.de, info@schneider-lmz.de]","Wir über uns:
Der Verkauf von Traktoren, Landmaschinen und landwirtschaftlichen Geräten sowie ein professioneller Service für unsere Produkte sind unsere Tätigkeitsfelder. Die ständigen Veränderungen und Entwicklungen in der Landwirtschaft erfordern von uns, eine immer professionellere Ausrichtung und Spezialisierung.
Wir suchen eine/n Auszubildende/n zum Land- und Baumaschinenmechatroniker (m/w/d)
Aufgaben und Tätigkeiten:
Land- und Baumaschinenmechatroniker/innen halten Fahrzeuge, Maschinen und Anlagen instand, die in der Land- und Forstwirtschaft und auf Baustellen zum Einsatz kommen. Sie erstellen Fehler- und Störungsdiagnosen in mechanischen, hydraulischen, elektrischen und elektronischen Systemen, ermitteln Störungsursachen und beheben Mängel, indem sie die entsprechenden Teile reparieren oder austauschen. Sie demontieren bzw. montieren Bauteile und Baugruppen, bearbeiten Werkstücke manuell und maschinell und führen auch Schweißarbeiten aus.
Außerdem rüsten sie land- und bauwirtschaftliche Fahrzeuge oder Maschinen mit Zubehör und Zusatzeinrichtungen aus.
Du bringst mit:
Interesse und Verständnis für Technik und Elektronik, handwerkliches Geschick, Teamfähigkeit und Belastbarkeit.
Wir freuen uns auf Deine Bewerbung!","10000-1203528751-S","http://www.schneider-lmz.de/",NULL
"Dachdecker/in","NaN","NaN","","","Ralf Stocker Dachdeckerei GmbH","Provinostr. 52, 86153 Augsburg, Bayern","2026-09-01","['+49 821 4864030']","[]","Bei uns werden Sie Teil eines Teams von 10 Personen mit Durchschnittsalter von 30-35 Jahren, die gemeinsam in einem sehr guten Betriebsklima Qualitätsarbeit leisten. Unsere Aufträge erledigen wir in und um Augsburg, so dass wir nur geringe Fahrtzeiten zu den verschiedenen Einsatzorten haben.
Zum 01.09.2026 bieten wir einen Ausbildungsplatz zum/r Dachdecker/in an.
Dachdecker/innen decken Dächer, verkleiden Außenwände und dichten Flächen an Bauwerken ab. Außerdem montieren sie Dachfenster, Dachrinnen und Blitzschutzanlagen und bauen Solaranlagen ein.
Ihr Profil:
Mindestens Hauptschulabschluss
Beherrschen der deutschen Sprache in Wort und Schrift
Zuverlässig und motiviert
Ort der Blockbeschulung ist Waldkirchen (Niederbayern).
Wir freuen uns auf ihre Bewerbung !!","10000-1203528779-S",NULL,NULL
"Bootsbauer/in - Neu-, Aus- und Umbau","NaN","NaN","","","Bootsbau Eike Baumgarten","Birkenweg 6, 19417 Warin","2026-09-01","['+49 38482 60710']","[]","Über uns:
Wir sind ein traditionsreiches Handwerksunternehmen spezialisiert auf den Bau von hochwertigen Rudersportbooten. Unsere Boote stehen für höchste Qualität, exzellente Verarbeitung und jahrzehntelange Erfahrung im Bootsbaubetrieb. Zur Verstärkung unseres Teams suchen wir ab sofort motivierte und engagierte Auszubildende im Bereich Bootsbau, die unsere Leidenschaft für den Rudersport teilen und mit uns die Zukunft des Bootsbaus gestalten möchten.
Deine Aufgaben:
Erlernen der grundlegenden Techniken und Fertigkeiten des Bootsbauhandwerks
Mitarbeit bei der Herstellung und Montage von Rudersportbooten
Bearbeitung und Veredelung von Holz und anderen Materialien
Einsatz von modernen Verbundwerkstoffen und Laminierungstechniken
Durchführung von Reparaturen und Wartungsarbeiten an bestehenden Booten
Mitarbeit bei der Qualitätskontrolle und Sicherstellung unserer hohen Fertigungsstandards
Dein Profil:
Erfolgreich abgeschlossener Schulabschluss
Handwerkliches Geschick und technisches Verständnis
Interesse und Begeisterung für den Boots- und Rudersport
Teamfähigkeit und gute Kommunikationsfähigkeiten
Zuverlässigkeit, Lernbereitschaft und eine sorgfältige Arbeitsweise
Motivation, sich ständig weiterzuentwickeln und Neues zu lernen
Wir bieten:
Eine umfassende und praxisorientierte Ausbildung in einem erfahrenen Handwerksbetrieb
Ein motiviertes und freundliches Team
Moderne und gut ausgestattete Werkstätten
Unterstützung durch erfahrene Ausbilder und Kollegen
Möglichkeiten zur persönlichen und fachlichen Weiterentwicklung
Aussicht auf Übernahme nach erfolgreichem Abschluss der Ausbildung
Bewerbung:
Wenn Sie die Herausforderung annehmen und Teil unseres Teams werden möchten, freuen wir uns auf Ihre aussagekräftige Bewerbung. Bitte senden Sie Ihre Unterlagen inklusive Lebenslauf und Zeugnisse per E-Mail an info@baumgarten-bootsbau.de
oder postalisch an:
Baumgarten Bootsbau
Herr Eike Baumgarten
Birkenweg 6
19417 Warin
Tel.: 03848260710
info@baumgarten-bootsbau.de
Wir freuen uns darauf, Sie kennenzulernen!
Baumgarten Bootsbau
www.baumgarten-bootsbau.de
Hinweis: Wir legen großen Wert auf Diversität und Chancengleichheit. Bewerbungen von Menschen jeglichen Geschlechts, Alters, Nationalität oder Religion sind herzlich willkommen.","10000-1203528780-S",NULL,NULL
"Kraftfahrzeugmechatroniker/in - Nutzfahrzeugtechnik","NaN","NaN","","","Werner Dreyer Kraftfahrzeuge GmbH","Limmerburg 3, 31061 Alfeld (Leine)","2026-08-01","[]","[]","Die Werner Dreyer Kraftfahrzeuge GmbH bietet zum Sommer 2026
1 Ausbildungsplatz zum/zur Kraftfahrzeugmechatroniker/in - Nutzfahrzeugtechnik.
Interessenten/innen sollten über einen Realschulabschluss verfügen, gute Zensuren in Mathematik vorweisen können und technisches wie handwerkliches Verständnis haben.","10000-1203528845-S",NULL,NULL
"Metallbauer/in - Konstruktionstechnik","NaN","NaN","","","Metallbau Arkenau GmbH","Daimlerstr. 3, 49413 Dinklage","2026-08-01","['+49 4443 95200', '+49 441 505943']","[]","Wir bieten zum 01.08.2026 einen Ausbildungsplatz zum
Metallbauer - Konstruktionstechnik (m/w/d)
Es sollte mindestens ein guter Hauptschulabschluss vorhanden sein. Des weiteren gute Deutschkenntnisse in Wort und Schrift.
Allgemeines Berufsbild:
Metallbauer/innen der Fachrichtung Konstruktionstechnik stellen Stahl- und Metallbaukonstruktionen her, montieren sie und halten sie instand.
Metallbauer/innen der Fachrichtung Konstruktionstechnik arbeiten überwiegend in Handwerksbetrieben des Metallbaus. Beschäftigung finden sie auch in Betrieben, die sich auf die Verarbeitung von Metall im Aus- oder Hochbau spezialisiert haben, etwa in Dachdeckerbetrieben oder Fassadenbauunternehmen.
Interesse? Dann freuen wir uns auf Deine Bewerbung!","10000-1203528856-S",NULL,NULL
"Medizinische/r Fachangestellte/r","NaN","NaN","","","AMEOS Krankenhausgesellschaft Ostholstein mbH Klinik Eutin","23701 Eutin",NULL,"['+49 4521 7872000']","[]","Gestalte mit uns die Zukunft in Eutin!
Starte zum 1. August eines Jahres im AMEOS Klinikum Eutin deine
Ausbildung zum medizinischen Fachangestellten (m/w/d)
Was bieten wir dir?
Eine qualifizierte, praxisnahe Ausbildung mit Zukunftsperspektive
Die theoretische Ausbildung findet in der beruflichen Schule in Neustadt i. H. statt
Ein freundliches und helfendes Arbeitsklima
Umfassende Auswahl an Untersuchungen und Eingriffen aus unterschiedlichen Fachbereichen
Ausbildung in Teilzeit möglich 
Vermittlung von medizinischen, verwaltungs- sowie abrechnungstechnischen Prozessen
Feste Unterstützung durch die Praxisanleitung (z. B. Berichtsheft) 
Eine attraktive Ausbildungsvergütung 
Umfangreiche Mitarbeitenden-Angebote bei über 600 namhaften Partnern (Corporate Benefits für bspw. Reisen, Freizeit, Leben)
EGYM Wellpass inkl. Arbeitgeberzuschuss
Möglichkeit, ein Fahrrad zu leasen (z.B. E-Bike), inkl. Arbeitgeberzuschuss
Zuschuss zum NAH.SH Jobticket
Kostenfreie Online-Fachbibliothek
Maßnahmen zur Prävention und Förderung deiner Gesundheit
Durch den Beruf eine verantwortungsvolle und besondere Tätigkeit, um einen Anteil zur Gesundheitsförderung beizutragen
Was bringst du mit?
Erfolgreichen Schulabschluss (Hauptschule, mittlere Reife oder Abitur) 
Gute Sprachkenntnisse (mind. B2)
Freude an der Arbeit mit Menschen
Einfühlungsvermögen, Lernbereitschaft und Teamfähigkeit
Kommunikationsfähigkeit
Verschwiegenheit (Schweigepflicht)
Zuverlässigkeit
Interesse an der Medizin
Detaillierte Auskünfte erteilt dir gern die stellv. Pflegedirektorin, Frau Sarah Prieß, unter
Tel. +49 (0)4521/787-2000.
Wir freuen uns auf deine Bewerbung. Berücksichtigt werden nur vollständige Bewerbungen, die inkl. Anschreiben, Lebenslauf und Zeugnissen über unser Online-Bewerberportal eingereicht werden.
Folge uns auf Instagram @ameos_gruppe
Jetzt bewerben
Vor allem Gesundheit
ameos.eu","10000-1203528870-S","http://www.sana-oh.de/","https://ameosha.pi-asp.de/bewerber-web/?company=*-FIRMA-ID&tenant=&lang=D#position,id=051f537c-a45a-4fe0-8a22-383807ecde8f,jobportalid=7d51b858-e466-400d-8696-5e01d3b26140"
"Kaufmann/-frau - Groß- und Außenhandelsmanag. (Großhandel)","NaN","NaN","","","Huissel Tabak GmbH","Ferdinand-Porsche-Str. 6, 71154 Nufringen","2026-09-01","['+49 7032 986138']","[]","Wir suchen für das Ausbildungsjahr 2026/2027 Auszubildende (m/w/d) im Berufsbild Kaufmann/-frau im Groß- und Außenhandelsmanagement in der Fachrichtung Großhandel.
Das kannst Du erwarten:
Erlernen sämtlicher betriebsinterner Abläufe wie
Ermittlung des Warenbedarfs, Lagerhaltung und Kontrolle
Verkauf von Waren an den Einzelhandel
Betreiben von Zigarettenautomaten
Buchhaltung
Vertrieb
Kundenservice
Automatentechnik
Nutzung modernster IT
Weiterbildungsmöglichkeiten (Ausbildung Hoch3)
Blockunterricht an der Kaufmännischen Berufsschule (Böblingen)
Das bringst Du mit:
Abitur, Mittlere Reife oder einen vergleichbaren Schulabschluss
Kundenorientierung
Teamfähigkeit
PC- / MS-Office Kenntnisse
Komm ins Huissel-Team und absolviere Deine Ausbildung bei einem traditionsreichen Familienunternehmen. Wir freuen uns über die Zusendung Deiner aussagekräftigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse) vorzugsweise an Ronja.Lindau@huissel.de oder per Post (Ferdinand-Porsche-Str. 6, 71154 Nufringen).
Bei Fragen stehe ich Ihnen gerne zur Verfügung.","10000-1203528877-S","http://www.huissel.de/",NULL
"Zahnmedizinische/r Fachangestellte/r","NaN","NaN","","","Zahnarztpraxis Rita Kozaeva","Lichtentaler Str. 4, 76530 Baden-Baden","2026-09-01","['+49 7221 23265']","[praxiskozaeva@hotmail.de, praxiskozaeva@hotmail.de]","Wir bieten ab 01.09.2026 eine Ausbildungsstelle zum/zur
Zahnmedizinische/r Fachangestellte/r (m/w/d).
Zahnmedizinische Fachangestellte (m/w/d) assistieren Zahnärzten und -ärztinnen bei Untersuchungen und Behandlungen, empfangen und betreuen die Patienten und organisieren die Praxisabläufe.
Ausbildungsdauer: 3 Jahre
Voraussetzungen:
mindestens abgeschlossener Hauptschulabschluss
gute Deutschkenntnisse
Wenn Sie sich für diesen Beruf interessieren, dann freuen wir Sie uns über Ihre Bewerbungsunterlagen, gerne auch per E-Mail!","10000-1203528889-S","http://www.praxiskozaeva.de/",NULL
"Elektroniker/in - Energie- und Gebäudetechnik","NaN","NaN","","","Klaus Tensi GmbH","Ostheimer Str. 9, 33034 Brakel, Westfalen","2026-08-01","['+49 5272 5452']","[]","Seit 1832 sind wir als Brakeler Traditions- und Familienunternehmen für unsere Kunden da. Als Handwerksbetrieb in der 6. Generation sind wir Ihr kompetenter Ansprechpartner „von nebenan“ im Bereich Elektro, Sanitär, Heizung und Solar.
Der Name „Tensi“ steht jedoch nicht nur für Arbeiten im Elektro- und Sanitärbereich. In unserem Ladengeschäft in der Ostheimer Straße 9 können Sie sich auch von aktuellen Deko-Trends und Geschenkideen inspirieren und beraten lassen.
Um diese Tradition weiter ausführen zu können, suchen wir zur Verstärkung unseres Teams für 2025 einen Auszubildenden zum Elektroniker Fachrichtung Energie- und Gebäudetechnik (m/w/d).
Die Tätigkeit im Überblick:
Elektroniker/innen der Fachrichtung Energie- und Gebäudetechnik planen elektrotechnische Anlagen von Gebäuden sowie deren Energieversorgung und Infrastruktur. Sie installieren die Anlagen, nehmen sie in Betrieb und warten oder reparieren sie bei Bedarf.
Die Ausbildung im Überblick:
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik ist ein 3,5-jähriger anerkannter Ausbildungsberuf im Handwerk.
Typische Branchen:
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik finden Beschäftigung
• in Betrieben des Elektrotechnikerhandwerks
• bei Firmen der Immobilienwirtschaft (z.B. im Facility-Management oder bei Hausmeisterdiensten)
Wir freuen uns auf Deine Bewerbung unter den angegebenen Kontaktdaten.","10000-1203528903-S",NULL,NULL
"Kraftfahrzeugmechatroniker/in - Personenkraftwagentechnik","NaN","NaN","","","Werner Dreyer Kraftfahrzeuge GmbH","Limmerburg 3, 31061 Alfeld (Leine)","2026-08-01","[]","[]","Die Werner Dreyer Kraftfahrzeuge GmbH bietet zum Sommer 2026
2 Ausbildungsplätze zum/zur Kraftfahrzeugmechatroniker/in - Personenkraftwagentechnik.
Interessenten/innen sollten über einen Realschulabschluss verfügen, gute Zensuren in Mathematik vorweisen können und technisches wie handwerkliches Verständnis haben.","10000-1203528917-S",NULL,NULL
"Industriekaufmann/-frau","NaN","NaN","","","SCHWING Technologies GmbH","Oderstr. 7, 47506 Neukirchen-Vluyn","2026-08-01","[]","[]","WIR BILDEN AUS Wir sind ein inhabergeführtes mittelständisches Unternehmen mit Sitz am Niederrhein. Als führender Sondermaschinenbauer entwickeln, fertigen und vertreiben wir seit mehr als 50 Jahren verfahrenstechnische Geräte und Anlagen im Bereich Produktion und Instandhaltung für unterschiedliche Branchen weltweit.
Wir bieten zum 01.08.2026 einen Ausbildungsplatz für den Ausbildungsberuf INDUSTRIEKAUFLEUTE (M/W/D) Industriekaufleute befassen sich in Unternehmen aller Branchen mit kaufmännisch-betriebswirtschaftlichen Aufgabenbereichen wie Materialwirtschaft, Vertrieb und Marketing, Personal- sowie Finanzwesen.
IHRE AUFGABEN:
◼ Sie lernen sämtliche kaufmännischen Funktionen und internen Prozesse kennen.
◼ Sie arbeiten aktiv, selbstständig und eigenverantwortlich in und mit unseren Teams.
◼ Sie erlernen den sicheren Umgang mit Lieferanten und Kunden.
IHR PROFIL:
◼ Mittlerer Schulabschluss, Fachoberschulreife oder Abitur
◼ Befriedigende Noten in Deutsch, Mathematik und Englisch
◼ Fahrerlaubnis Klasse B wünschenswert
◼ Interesse an kaufmännischen Abläufen und Aufgaben
◼ Teamfähigkeit und Zuverlässigkeit
◼ Motivation, Lern- und Leistungsbereitschaft
WAS WIR BIETEN:
◼ Eine abwechslungsreiche Ausbildung in einem international tätigen Familienunternehmen
◼ Ein angenehmes Arbeitsumfeld mit individueller Betreuung und Förderung während der gesamten 3-jährigen
Ausbildung
◼ Vorbereitung auf die Abschlussprüfung, sowohl auf den schriftlichen Teil als auch auf die Projektarbeit
◼ Hohe Übernahmequote bei entsprechender Leistung
◼ Urlaubsgeld, erfolgsabhängige Prämien, vermögenswirksame Leistungen, Gesundheitsmanagement und
vieles mehr
Wir freuen uns auf Ihre aussagekräftige schriftliche Bewerbung (Anschreiben, Lebenslauf, Zeugnisse) an Herrn
Kevin Nowak: k.nowak@schwing-tech.com
SCHWING Technologies GmbH
Oderstraße 7
47506 Neukirchen-Vluyn
www.schwing-technologies.de","10000-1203528994-S","http://www.schwing-technologies.de/",NULL
