Profession|Salary|Company Name|Location|Start Date|Telephone|Email|Job Description|Ref.-Nr.|External Link|Application Link
Kaufmann/-frau - Groß- und Außenhandelsmanag. (Großhandel)||"Arbeitgeber:
Huissel Tabak GmbH"|Ferdinand-Porsche-Str. 6, 71154 Nufringen|Beginn ab 01.09.2026|['+49 7032 986138']|[]|"Wir suchen für das Ausbildungsjahr 2026/2027 Auszubildende (m/w/d) im Berufsbild Kaufmann/-frau im Groß- und Außenhandelsmanagement in der Fachrichtung Großhandel.
Das kannst Du erwarten:
Erlernen sämtlicher betriebsinterner Abläufe wie
Ermittlung des Warenbedarfs, Lagerhaltung und Kontrolle
Verkauf von Waren an den Einzelhandel
Betreiben von Zigarettenautomaten
Buchhaltung
Vertrieb
Kundenservice
Automatentechnik
Nutzung modernster IT
Weiterbildungsmöglichkeiten (Ausbildung Hoch3)
Blockunterricht an der Kaufmännischen Berufsschule (Böblingen)
Das bringst Du mit:
Abitur, Mittlere Reife oder einen vergleichbaren Schulabschluss
Kundenorientierung
Teamfähigkeit
PC- / MS-Office Kenntnisse
Komm ins Huissel-Team und absolviere Deine Ausbildung bei einem traditionsreichen Familienunternehmen. Wir freuen uns über die Zusendung Deiner aussagekräftigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse) vorzugsweise an Ronja.Lindau@huissel.de oder per Post (Ferdinand-Porsche-Str. 6, 71154 Nufringen).
Bei Fragen stehe ich Ihnen gerne zur Verfügung."|10000-1203528877-S|http://www.huissel.de/|
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Fuhrenkamp 3, 29699 Walsrode|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2181-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/bomlitz/fuhrenkamp-3/2181?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L2181
Land- und Baumaschinenmechatroniker/in||"Arbeitgeber:
NEWTEC West Vertriebsgesellschaft für Agrartechnik GmbH"|23684 Scharbeutz|Beginn ab 01.08.2026|['+49 4524 7030915']|[]|"Die NEWTEC ist ein bedeutender und leistungsfähiger Anbieter von Agrartechnik. Als einer der größten Händler der Marke New Holland vertreibt die NEWTEC Gruppe Neu- und Gebrauchtmaschinen von New Holland und weiterer führender Hersteller.
Hier findest du nähere Informationen zu uns: NEWTEC
Für unseren Standort in Scharbeutz suchen wir eine/n Auszubildende/n zur/zum
Land- und Baumaschinenmechatroniker (m/w/d)
Du bist:
technisch begabt und interessiert
handwerklich geschickt
hast Lust auf Teamarbeit
bist körperlich belastbar und hast Lust auf Arbeit in der Werkstatt und im Freien (Feld)
suchst eine abwechslungsreiche Arbeit in der Werkstatt sowie später auch im Außendienst
Von der Mechanik über Hydraulik bis zur Elektronik lernst du Alles bei uns.
Hier erfährst du auch Informationen aus erster Hand von unseren Azubis NEWTEC
Die Berufsschule befindet sich in Bad Segeberg."|10000-1203245654-S||
Zahnmedizinische/r Fachangestellte/r||"Arbeitgeber:
Zahnarztpraxis Rita Kozaeva"|Lichtentaler Str. 4, 76530 Baden-Baden|Beginn ab 01.09.2026|['+49 7221 23265']|['praxiskozaeva@hotmail.de', 'praxiskozaeva@hotmail.de']|"Wir bieten ab 01.09.2026 eine Ausbildungsstelle zum/zur
Zahnmedizinische/r Fachangestellte/r (m/w/d).
Zahnmedizinische Fachangestellte (m/w/d) assistieren Zahnärzten und -ärztinnen bei Untersuchungen und Behandlungen, empfangen und betreuen die Patienten und organisieren die Praxisabläufe.
Ausbildungsdauer: 3 Jahre
Voraussetzungen:
mindestens abgeschlossener Hauptschulabschluss
gute Deutschkenntnisse
Wenn Sie sich für diesen Beruf interessieren, dann freuen wir Sie uns über Ihre Bewerbungsunterlagen, gerne auch per E-Mail!"|10000-1203528889-S|http://www.praxiskozaeva.de/|
Techn. Produktdesigner/in - Maschinen- u. Anlagenkonstrukt.|1.050 € – 1.350 €/Monat|"Arbeitgeber:
Ingenieurbüro Gullert & Wilke AUTOMOTIVE GmbH"|49504 Lotte|Beginn ab 01.09.2026|['+49 5404 91480']|['info@igw.de', 'info@igw.de']|"Die Unternehmensgruppe GULLERT & WILKE ist mit ihren Tochterfirmen und Niederlassungen (Lotte bei Osnabrück / Bremen / Hamburg) ein anerkanntes Unternehmen für anspruchsvolle Ingenieurdienstleistungen im Bereich Maschinenbau, Anlagenbau, Elektrotechnik, Verfahrenstechnik und Fahrzeugtechnik. Zurzeit sind in der IGW Unternehmensgruppe ca. 100 Mitarbeiter/innen tätig. Zum Leistungsspektrum gehört die Planung, Entwicklung, Konstruktion, Dokumentation, Qualitätsmanagement und Einkauf. Mit unseren Kollegen können wir auf eine 40- jährige Erfahrung zurückgreifen.
Wir bieten einen Ausbildungsplatz zum
Technischen Produktdesigner (m/w/d)
Als technischer Produktdesigner sind Sie unterstützend an der Entwicklung von Maschinen und Anlagen beteiligt. Mit Hilfe einer speziellen CAD-Software erstellen Sie eigenständig maßstabsgetreue Modelle, Skizzen und Ansichten. Die Auswahl von Werkstoffen, das Anfertigen von fertigungs- und montagegerechten Zeichnungen, sowie das Erstellen von Stücklisten gehören ebenfalls zu Ihrem Aufgabengebiet. Diese Tätigkeiten werden in der Konstruktion & Entwicklung unter Anweisung des Konstrukteurs oder Ingenieurs, allein oder in der Gruppe ausgeübt.
Ausbildungsort:
Ingenieurbüro Gullert & Wilke GmbH
Daimlerstr. 4
49504 Lotte
Mindestvoraussetzungen:
guter Schulabschluss
Gute Noten in Mathe, Deutsch, Englisch und Physik
Räumliches Vorstellungsvermögen
Interesse für technische Zusammenhänge
Technisches Verständnis
Selbstständiges & verantwortungsbewusstes Arbeiten
Teamfähigkeit
Ausbildungsdauer:
3,5 Jahre (Verkürzung um 0,5 Jahre am Ende der Ausbildung bei entsprechenden schulischen und praktischen Leistungen möglich)
Berufsschule:
Rheine
Osnabrück
Tätigkeiten:
Unterstützung der Konstruktion
CAD-Zeichnungen erstellen
Erstellung von Stücklisten
Teilevermessung
Modellplanung
Mögliche Einsatzgebiete während der Ausbildung:
Konstruktion & Entwicklung
Abschluss:
IHK Technischer Produktdesigner (m/w/d) – Fachrichtung Maschinen- und Anlagenkonstruktion"|10001-1001725893-S|http://www.igw.de/|http://www.igw.de/
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Rheingaustr. 44, 65201 Wiesbaden|Beginn ab 01.08.2026|[]|[]|"Der Kunde steht im Mittelpunkt
Freundliche Beratung und der tägliche Service für unsere Kunden sind für Kaufleute im Einzelhandel selbstverständlich. Als Auszubildender solltest du daher kontaktfreudig sein und dich auf eine abwechslungsreiche und vielseitige Tätigkeit freuen. Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Kaufmann im Einzelhandel (m/w/d).Du machst bereits eine zweijährige Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel in einem anderen Unternehmen? Dann kannst du dich bei uns auch gerne nur für das dritte Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) bewerben.
  Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Du erhältst Einblicke in verschiedene Bereiche wie Bestellabwicklung, Bestandsüberwachung oder Kundenberatung
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-15-3516-A2026-S||https://www.netto-online.de/karriere/job/p15/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d/wiesbaden/rheingaustr-44/3516?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P15-L3516
Kraftfahrzeugmechatroniker/in - Nutzfahrzeugtechnik||"Arbeitgeber:
Werner Dreyer Kraftfahrzeuge GmbH"|Limmerburg 3, 31061 Alfeld (Leine)|Beginn ab 01.08.2026|[]|[]|"Die Werner Dreyer Kraftfahrzeuge GmbH bietet zum Sommer 2026
1 Ausbildungsplatz zum/zur Kraftfahrzeugmechatroniker/in - Nutzfahrzeugtechnik.
Interessenten/innen sollten über einen Realschulabschluss verfügen, gute Zensuren in Mathematik vorweisen können und technisches wie handwerkliches Verständnis haben."|10000-1203528845-S||
Medizinische/r Fachangestellte/r||"Arbeitgeber:
AMEOS Krankenhausgesellschaft Ostholstein mbH Klinik Eutin"|23701 Eutin||['+49 4521 7872000']|[]|"Gestalte mit uns die Zukunft in Eutin!
Starte zum 1. August eines Jahres im AMEOS Klinikum Eutin deine
Ausbildung zum medizinischen Fachangestellten (m/w/d)
Was bieten wir dir?
Eine qualifizierte, praxisnahe Ausbildung mit Zukunftsperspektive
Die theoretische Ausbildung findet in der beruflichen Schule in Neustadt i. H. statt
Ein freundliches und helfendes Arbeitsklima
Umfassende Auswahl an Untersuchungen und Eingriffen aus unterschiedlichen Fachbereichen
Ausbildung in Teilzeit möglich 
Vermittlung von medizinischen, verwaltungs- sowie abrechnungstechnischen Prozessen
Feste Unterstützung durch die Praxisanleitung (z. B. Berichtsheft) 
Eine attraktive Ausbildungsvergütung 
Umfangreiche Mitarbeitenden-Angebote bei über 600 namhaften Partnern (Corporate Benefits für bspw. Reisen, Freizeit, Leben)
EGYM Wellpass inkl. Arbeitgeberzuschuss
Möglichkeit, ein Fahrrad zu leasen (z.B. E-Bike), inkl. Arbeitgeberzuschuss
Zuschuss zum NAH.SH Jobticket
Kostenfreie Online-Fachbibliothek
Maßnahmen zur Prävention und Förderung deiner Gesundheit
Durch den Beruf eine verantwortungsvolle und besondere Tätigkeit, um einen Anteil zur Gesundheitsförderung beizutragen
Was bringst du mit?
Erfolgreichen Schulabschluss (Hauptschule, mittlere Reife oder Abitur) 
Gute Sprachkenntnisse (mind. B2)
Freude an der Arbeit mit Menschen
Einfühlungsvermögen, Lernbereitschaft und Teamfähigkeit
Kommunikationsfähigkeit
Verschwiegenheit (Schweigepflicht)
Zuverlässigkeit
Interesse an der Medizin
Detaillierte Auskünfte erteilt dir gern die stellv. Pflegedirektorin, Frau Sarah Prieß, unter
Tel. +49 (0)4521/787-2000.
Wir freuen uns auf deine Bewerbung. Berücksichtigt werden nur vollständige Bewerbungen, die inkl. Anschreiben, Lebenslauf und Zeugnissen über unser Online-Bewerberportal eingereicht werden.
Folge uns auf Instagram @ameos_gruppe
Jetzt bewerben
Vor allem Gesundheit
ameos.eu"|10000-1203528870-S|http://www.sana-oh.de/|https://ameosha.pi-asp.de/bewerber-web/?company=*-FIRMA-ID&tenant=&lang=D#position,id=051f537c-a45a-4fe0-8a22-383807ecde8f,jobportalid=7d51b858-e466-400d-8696-5e01d3b26140
Dachdecker/in||"Arbeitgeber:
Ralf Stocker Dachdeckerei GmbH"|Provinostr. 52, 86153 Augsburg, Bayern|Beginn ab 01.09.2026|['+49 821 4864030']|[]|"Bei uns werden Sie Teil eines Teams von 10 Personen mit Durchschnittsalter von 30-35 Jahren, die gemeinsam in einem sehr guten Betriebsklima Qualitätsarbeit leisten. Unsere Aufträge erledigen wir in und um Augsburg, so dass wir nur geringe Fahrtzeiten zu den verschiedenen Einsatzorten haben.
Zum 01.09.2026 bieten wir einen Ausbildungsplatz zum/r Dachdecker/in an.
Dachdecker/innen decken Dächer, verkleiden Außenwände und dichten Flächen an Bauwerken ab. Außerdem montieren sie Dachfenster, Dachrinnen und Blitzschutzanlagen und bauen Solaranlagen ein.
Ihr Profil:
Mindestens Hauptschulabschluss
Beherrschen der deutschen Sprache in Wort und Schrift
Zuverlässig und motiviert
Ort der Blockbeschulung ist Waldkirchen (Niederbayern).
Wir freuen uns auf ihre Bewerbung !!"|10000-1203528779-S||
Metallbauer/in - Konstruktionstechnik||"Arbeitgeber:
Metallbau Arkenau GmbH"|Daimlerstr. 3, 49413 Dinklage|Beginn ab 01.08.2026|['+49 4443 95200', '+49 441 505943']|[]|"Wir bieten zum 01.08.2026 einen Ausbildungsplatz zum
Metallbauer - Konstruktionstechnik (m/w/d)
Es sollte mindestens ein guter Hauptschulabschluss vorhanden sein. Des weiteren gute Deutschkenntnisse in Wort und Schrift.
Allgemeines Berufsbild:
Metallbauer/innen der Fachrichtung Konstruktionstechnik stellen Stahl- und Metallbaukonstruktionen her, montieren sie und halten sie instand.
Metallbauer/innen der Fachrichtung Konstruktionstechnik arbeiten überwiegend in Handwerksbetrieben des Metallbaus. Beschäftigung finden sie auch in Betrieben, die sich auf die Verarbeitung von Metall im Aus- oder Hochbau spezialisiert haben, etwa in Dachdeckerbetrieben oder Fassadenbauunternehmen.
Interesse? Dann freuen wir uns auf Deine Bewerbung!"|10000-1203528856-S||
Bootsbauer/in - Neu-, Aus- und Umbau||"Arbeitgeber:
Bootsbau Eike Baumgarten"|Birkenweg 6, 19417 Warin|Beginn ab 01.09.2026|['+49 38482 60710']|[]|"Über uns:
Wir sind ein traditionsreiches Handwerksunternehmen spezialisiert auf den Bau von hochwertigen Rudersportbooten. Unsere Boote stehen für höchste Qualität, exzellente Verarbeitung und jahrzehntelange Erfahrung im Bootsbaubetrieb. Zur Verstärkung unseres Teams suchen wir ab sofort motivierte und engagierte Auszubildende im Bereich Bootsbau, die unsere Leidenschaft für den Rudersport teilen und mit uns die Zukunft des Bootsbaus gestalten möchten.
Deine Aufgaben:
Erlernen der grundlegenden Techniken und Fertigkeiten des Bootsbauhandwerks
Mitarbeit bei der Herstellung und Montage von Rudersportbooten
Bearbeitung und Veredelung von Holz und anderen Materialien
Einsatz von modernen Verbundwerkstoffen und Laminierungstechniken
Durchführung von Reparaturen und Wartungsarbeiten an bestehenden Booten
Mitarbeit bei der Qualitätskontrolle und Sicherstellung unserer hohen Fertigungsstandards
Dein Profil:
Erfolgreich abgeschlossener Schulabschluss
Handwerkliches Geschick und technisches Verständnis
Interesse und Begeisterung für den Boots- und Rudersport
Teamfähigkeit und gute Kommunikationsfähigkeiten
Zuverlässigkeit, Lernbereitschaft und eine sorgfältige Arbeitsweise
Motivation, sich ständig weiterzuentwickeln und Neues zu lernen
Wir bieten:
Eine umfassende und praxisorientierte Ausbildung in einem erfahrenen Handwerksbetrieb
Ein motiviertes und freundliches Team
Moderne und gut ausgestattete Werkstätten
Unterstützung durch erfahrene Ausbilder und Kollegen
Möglichkeiten zur persönlichen und fachlichen Weiterentwicklung
Aussicht auf Übernahme nach erfolgreichem Abschluss der Ausbildung
Bewerbung:
Wenn Sie die Herausforderung annehmen und Teil unseres Teams werden möchten, freuen wir uns auf Ihre aussagekräftige Bewerbung. Bitte senden Sie Ihre Unterlagen inklusive Lebenslauf und Zeugnisse per E-Mail an info@baumgarten-bootsbau.de
oder postalisch an:
Baumgarten Bootsbau
Herr Eike Baumgarten
Birkenweg 6
19417 Warin
Tel.: 03848260710
info@baumgarten-bootsbau.de
Wir freuen uns darauf, Sie kennenzulernen!
Baumgarten Bootsbau
www.baumgarten-bootsbau.de
Hinweis: Wir legen großen Wert auf Diversität und Chancengleichheit. Bewerbungen von Menschen jeglichen Geschlechts, Alters, Nationalität oder Religion sind herzlich willkommen."|10000-1203528780-S||
Land- und Baumaschinenmechatroniker/in||"Arbeitgeber:
Schneider Landmaschinenzentrum GmbH & Co. KG"|Schafgasse 20, 71083 Herrenberg im Gäu|Beginn ab 01.09.2026|[]|['info@schneider-lmz.de', 'info@schneider-lmz.de', 'info@schneider-lmz.de.de', 'info@schneider-lmz.de', 'info@schneider-lmz.de', 'info@schneider-lmz.de.de', 'info@schneider-lmz.de', 'info@schneider-lmz.de']|"Wir über uns:
Der Verkauf von Traktoren, Landmaschinen und landwirtschaftlichen Geräten sowie ein professioneller Service für unsere Produkte sind unsere Tätigkeitsfelder. Die ständigen Veränderungen und Entwicklungen in der Landwirtschaft erfordern von uns, eine immer professionellere Ausrichtung und Spezialisierung.
Wir suchen eine/n Auszubildende/n zum Land- und Baumaschinenmechatroniker (m/w/d)
Aufgaben und Tätigkeiten:
Land- und Baumaschinenmechatroniker/innen halten Fahrzeuge, Maschinen und Anlagen instand, die in der Land- und Forstwirtschaft und auf Baustellen zum Einsatz kommen. Sie erstellen Fehler- und Störungsdiagnosen in mechanischen, hydraulischen, elektrischen und elektronischen Systemen, ermitteln Störungsursachen und beheben Mängel, indem sie die entsprechenden Teile reparieren oder austauschen. Sie demontieren bzw. montieren Bauteile und Baugruppen, bearbeiten Werkstücke manuell und maschinell und führen auch Schweißarbeiten aus.
Außerdem rüsten sie land- und bauwirtschaftliche Fahrzeuge oder Maschinen mit Zubehör und Zusatzeinrichtungen aus.
Du bringst mit:
Interesse und Verständnis für Technik und Elektronik, handwerkliches Geschick, Teamfähigkeit und Belastbarkeit.
Wir freuen uns auf Deine Bewerbung!"|10000-1203528751-S|http://www.schneider-lmz.de/|
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Hauptstr. 39, 78239 Rielasingen-Worblingen|Beginn ab 01.09.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-5261-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/rielasingen-worblingen/hauptstr-39/5261?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L5261
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Celler Str. 8, 29348 Eschede|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2210-A2026-S||
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Brühlstr. 5, 78247 Hilzingen|Beginn ab 01.09.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-4242-A2026-S||
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Am alten Sportplatz 1, 78359 Orsingen-Nenzingen|Beginn ab 01.09.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-3051-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/orsingen-nenzingen/am-alten-sportplatz-1/3051?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L3051
